,Borough,Neighborhood,ID,dd,Name,Likes,Rating,Tips
0,Bronx,Woodlawn,4c0448d9310fc9b6bf1dc761,1,Curry Spot,5,8,11
1,Bronx,Parkchester,4c194631838020a13e78e561,2,Melanies Roti Bar And Grill,3,5.9,2
2,Bronx,Parkchester,55dfa36a498e164ef19bef7b,1,Premium Sweets & Restaurant,18,7.4,5
3,Bronx,Spuyten Duyvil,4c04544df423a593ac83d116,1,Cumin Indian Cuisine,13,6,9
4,Bronx,Concourse,551b7f75498e86c00a0ed2e1,2,Hungry Bird,8,6.9,3
5,Bronx,Unionport,4c194631838020a13e78e561,2,Melanies Roti Bar And Grill,3,5.9,2
6,Brooklyn,Bay Ridge,4b5a4dc8f964a520a2bb28e3,1,Taj Mahal,38,8.3,26
7,Brooklyn,Bay Ridge,545835a1498e820edc6f636f,2,Bombay Grill,14,7.1,4
8,Brooklyn,Brighton Beach,4af0d31bf964a5207ddf21e3,1,Pak Nasheman,9,7.5,4
9,Brooklyn,Flatbush,52213c4211d295d4c57a607c,1,Ashoka Grill,8,7.2,14
10,Brooklyn,Flatbush,564d283d498e6e851df79d87,3,Great Indian Curry,3,6.9,2
11,Brooklyn,East Flatbush,512a9ea9e4b004fb8eeb84e5,1,Silver Krust,12,8.2,3
12,Brooklyn,Kensington,4db0f4371e729fcc56497f20,3,Mashallah,19,7.6,7
13,Brooklyn,Kensington,4b718914f964a520c04b2de3,3,Madina Restaurant and Sweets,17,6.9,12
14,Brooklyn,Gowanus,52f18573498ec2c34e830ffd,1,Kanan's Indian Restaurant,23,7.7,8
15,Brooklyn,Fort Greene,57596dad498e732300496b23,2,Dosa Royale,74,8.7,22
16,Brooklyn,Clinton Hill,57596dad498e732300496b23,2,Dosa Royale,74,8.7,22
17,Brooklyn,Prospect Lefferts Gardens,4bb93b70cf2fc9b6fe64a002,1,Gandhi Fine Indian Cuisine,81,8.3,47
18,Brooklyn,Prospect Lefferts Gardens,4afdf78bf964a520862c22e3,1,King of Tandoor,25,7.1,23
19,Brooklyn,Ocean Hill,4f6cae2ee4b0d4a5afcef5c0,1,Delhi Heights,22,8.2,8
20,Brooklyn,Ocean Hill,5539753f498edbace4746b67,1,Tandoori Masala,12,7.7,2
21,Brooklyn,City Line,4f381772e4b08533d2f91e26,1,Rose Bengal,0,0.0,0
22,Brooklyn,Prospect Park South,519ff6c8498e1300ddcbd45c,2,Anarkali Indian Cuisine,14,7.4,8
23,Brooklyn,Prospect Park South,4db0f4371e729fcc56497f20,3,Mashallah,19,7.6,7
24,Brooklyn,Prospect Park South,4b718914f964a520c04b2de3,3,Madina Restaurant and Sweets,17,6.9,12
25,Brooklyn,North Side,5631511b498e3d6d7e0a4df0,2,Tikka Indian Grill,94,8.4,27
26,Brooklyn,South Side,5631511b498e3d6d7e0a4df0,2,Tikka Indian Grill,94,8.4,27
27,Brooklyn,Fort Hamilton,545835a1498e820edc6f636f,2,Bombay Grill,14,7.1,4
28,Manhattan,Washington Heights,4ae7876ef964a5201eac21e3,1,Kismat Indian Restaurant,45,7.7,25
29,Manhattan,Hamilton Heights,54c2bd96498eaf5142e3fe92,3,Clove Indian Restaurant & Bar,30,7.8,15
30,Manhattan,Hamilton Heights,5914ff32b23dfa207eca38de,1,Mumbai Masala,13,7.2,7
31,Manhattan,Manhattanville,529d382a11d2dd5ef107e641,1,Chapati House - NYC,73,7.8,18
32,Manhattan,Manhattanville,54c2bd96498eaf5142e3fe92,3,Clove Indian Restaurant & Bar,30,7.8,15
33,Manhattan,Central Harlem,56d87f3d498ee215abee5724,1,Delhi Masala,13,8.5,3
34,Manhattan,Central Harlem,54c2bd96498eaf5142e3fe92,3,Clove Indian Restaurant & Bar,30,7.8,15
35,Manhattan,East Harlem,519fe6f5498e30595d370c44,1,Bawarchi,9,7.6,4
36,Manhattan,Yorkville,5272ca4511d22488f6895caf,2,Drunken Munkey,207,8.5,61
37,Manhattan,Roosevelt Island,4fe4fb50c2eee335e4fea69d,2,Moti Mahal Delux,185,8.4,82
